Unix,Date,Symbol,Open,High,Low,Close,Volume ROSE,Volume USDT,tradecount
1715040000000,2024-05-07,ROSEUSDT,0.09696,0.09822,0.09178,0.09199,64365400.9,6167337.046069,43961
1714953600000,2024-05-06,ROSEUSDT,0.09817,0.10341,0.09666,0.09697,65694286.0,6552204.739469,49549
1714867200000,2024-05-05,ROSEUSDT,0.09556,0.10013,0.09402,0.09817,53802228.6,5210728.47177,38933
1714780800000,2024-05-04,ROSEUSDT,0.09626,0.09786,0.09508,0.09552,38766278.2,3729268.817551,29831
1714694400000,2024-05-03,ROSEUSDT,0.09231,0.09758,0.09007,0.09624,52976262.2,4991833.402916,44078
1714608000000,2024-05-02,ROSEUSDT,0.0909,0.094,0.08783,0.09231,56815637.1,5171522.836621,39395
1714521600000,2024-05-01,ROSEUSDT,0.08993,0.09286,0.08217,0.09082,100399187.7,8780817.725396,74424
1714435200000,2024-04-30,ROSEUSDT,0.09502,0.09647,0.08454,0.09,110945759.6,9862935.789126,70247
1714348800000,2024-04-29,ROSEUSDT,0.09529,0.09641,0.09181,0.09501,60605679.3,5676340.523524,41746
1714262400000,2024-04-28,ROSEUSDT,0.09911,0.10135,0.09472,0.09528,62739343.6,6158582.006097,40321
1714176000000,2024-04-27,ROSEUSDT,0.09799,0.10105,0.0941,0.09905,66149407.6,6500014.133507,45514
1714089600000,2024-04-26,ROSEUSDT,0.1012,0.10181,0.0971,0.09795,66919059.5,6656447.673761,44160
1714003200000,2024-04-25,ROSEUSDT,0.09933,0.10374,0.09718,0.10116,80585544.6,8084303.646026,55432
1713916800000,2024-04-24,ROSEUSDT,0.10268,0.10991,0.09726,0.09924,136127880.2,14238282.317104,89970
1713830400000,2024-04-23,ROSEUSDT,0.10414,0.10554,0.10108,0.1027,62808253.7,6478449.006236,49602
1713744000000,2024-04-22,ROSEUSDT,0.10258,0.10673,0.1017,0.10417,78683874.6,8187440.739852,62189
1713657600000,2024-04-21,ROSEUSDT,0.10574,0.10696,0.10032,0.1026,58649004.9,6066818.74599,46021
1713571200000,2024-04-20,ROSEUSDT,0.09827,0.1078,0.09658,0.10574,67954199.5,6971804.271245,53560
1713484800000,2024-04-19,ROSEUSDT,0.0954,0.10257,0.08785,0.09828,120900070.8,11777454.37779,97312
1713398400000,2024-04-18,ROSEUSDT,0.09083,0.09623,0.08799,0.09539,85278212.4,7857037.741002,69406
1713312000000,2024-04-17,ROSEUSDT,0.09245,0.09496,0.08633,0.09089,109111008.1,9905717.398479,79051
1713225600000,2024-04-16,ROSEUSDT,0.09219,0.09821,0.08674,0.09242,147397565.1,13646897.996753,121584
1713139200000,2024-04-15,ROSEUSDT,0.09494,0.10239,0.08812,0.09214,157367756.5,15200687.887021,166207
1713052800000,2024-04-14,ROSEUSDT,0.0877,0.0963,0.08363,0.09497,193565725.8,17529008.028127,141337
1712966400000,2024-04-13,ROSEUSDT,0.10059,0.10386,0.0722,0.08771,341161193.1,30680057.128485,306639
1712880000000,2024-04-12,ROSEUSDT,0.12505,0.13054,0.09108,0.10059,288783106.6,31639009.471813,262081
1712793600000,2024-04-11,ROSEUSDT,0.12306,0.12643,0.12038,0.12506,72110893.1,8898438.104224,63763
1712707200000,2024-04-10,ROSEUSDT,0.12701,0.12785,0.11879,0.12305,109160701.4,13455299.70084,87237
1712620800000,2024-04-09,ROSEUSDT,0.13368,0.13557,0.12642,0.12707,98215739.0,12873191.549862,82074
1712534400000,2024-04-08,ROSEUSDT,0.12861,0.1355,0.12438,0.13367,102644419.0,13544668.936927,78427
1712448000000,2024-04-07,ROSEUSDT,0.12891,0.13094,0.12694,0.1285,55367576.7,7147392.954687,40918
1712361600000,2024-04-06,ROSEUSDT,0.12797,0.13046,0.12643,0.12889,32345025.2,4146038.6332,29365
1712275200000,2024-04-05,ROSEUSDT,0.12985,0.13048,0.12222,0.128,64168189.0,8142894.498534,63757
1712188800000,2024-04-04,ROSEUSDT,0.12646,0.13228,0.12363,0.12985,78485561.0,10136640.128675,72850
1712102400000,2024-04-03,ROSEUSDT,0.12216,0.1295,0.11739,0.12649,92088718.0,11572221.859214,86645
1712016000000,2024-04-02,ROSEUSDT,0.13025,0.13025,0.11813,0.12216,119088739.0,14522922.984522,89612
1711929600000,2024-04-01,ROSEUSDT,0.13747,0.1385,0.1266,0.13026,118897904.6,15573525.773791,99921
1711843200000,2024-03-31,ROSEUSDT,0.13431,0.13809,0.13348,0.13747,46039265.6,6283343.063173,41425
1711756800000,2024-03-30,ROSEUSDT,0.13922,0.14103,0.13281,0.13428,55661024.0,7648214.446876,49095
1711670400000,2024-03-29,ROSEUSDT,0.14202,0.14367,0.13652,0.13923,63925954.3,8897474.416522,60917
1711584000000,2024-03-28,ROSEUSDT,0.14047,0.14356,0.13805,0.14205,84020847.1,11852188.305624,74254
1711497600000,2024-03-27,ROSEUSDT,0.14913,0.15377,0.13824,0.1405,146472606.5,21197582.764332,142960
1711411200000,2024-03-26,ROSEUSDT,0.15012,0.1532,0.1453,0.14913,134481694.1,20111006.62571,148551
1711324800000,2024-03-25,ROSEUSDT,0.14717,0.15495,0.14472,0.15013,80288920.0,11997219.586797,83534
1711238400000,2024-03-24,ROSEUSDT,0.13847,0.14821,0.13656,0.14714,63547305.1,9087900.758869,76792
1711152000000,2024-03-23,ROSEUSDT,0.13802,0.14354,0.13654,0.1385,57004262.0,8004804.581067,69366
1711065600000,2024-03-22,ROSEUSDT,0.14333,0.14624,0.13354,0.13804,67099599.5,9386715.994131,88891
1710979200000,2024-03-21,ROSEUSDT,0.14625,0.14936,0.14031,0.14333,82387511.2,11997946.631118,106265
1710892800000,2024-03-20,ROSEUSDT,0.13091,0.14719,0.126,0.14637,127604377.4,17449871.401452,171446
1710806400000,2024-03-19,ROSEUSDT,0.14192,0.14711,0.12551,0.13091,174294135.1,23124408.537826,217879
1710720000000,2024-03-18,ROSEUSDT,0.15357,0.15357,0.13916,0.14194,107136805.0,15610192.363938,137312
1710633600000,2024-03-17,ROSEUSDT,0.14877,0.15935,0.14,0.15363,102634856.3,15647687.134469,130391
1710547200000,2024-03-16,ROSEUSDT,0.15964,0.16559,0.14455,0.14873,112202300.4,17340319.045377,157201
1710460800000,2024-03-15,ROSEUSDT,0.16781,0.16885,0.14645,0.15958,145874088.4,22880937.449732,186211
1710374400000,2024-03-14,ROSEUSDT,0.17104,0.17243,0.15531,0.1678,117548892.6,19350706.125921,141802
1710288000000,2024-03-13,ROSEUSDT,0.17692,0.17846,0.168,0.171,92192034.7,15955991.586229,103868
1710201600000,2024-03-12,ROSEUSDT,0.1797,0.18154,0.16354,0.17698,137098655.7,23902036.766443,170539
1710115200000,2024-03-11,ROSEUSDT,0.1766,0.1835,0.16945,0.17971,115187030.6,20533149.081478,174860
1710028800000,2024-03-10,ROSEUSDT,0.18187,0.185,0.17086,0.17648,112905898.1,20058990.019721,152469
1709942400000,2024-03-09,ROSEUSDT,0.16951,0.184,0.16886,0.18189,157194377.1,27785964.457503,173245
1709856000000,2024-03-08,ROSEUSDT,0.1723,0.17463,0.15905,0.1695,128898251.5,21863924.869909,160126
1709769600000,2024-03-07,ROSEUSDT,0.16361,0.17769,0.16277,0.1723,178121952.9,30356913.852068,234685
1709683200000,2024-03-06,ROSEUSDT,0.1528,0.16515,0.14433,0.1636,144627610.0,22618009.797715,186091
1709596800000,2024-03-05,ROSEUSDT,0.15811,0.16376,0.1255,0.15285,238971997.1,36202450.065524,310033
1709510400000,2024-03-04,ROSEUSDT,0.16072,0.172,0.1535,0.15811,166459420.7,27194908.185558,196106
1709424000000,2024-03-03,ROSEUSDT,0.15963,0.16772,0.151,0.16071,135581967.2,21695820.298889,167104
1709337600000,2024-03-02,ROSEUSDT,0.162,0.16784,0.15487,0.15967,107926545.1,17172133.655506,127213
1709251200000,2024-03-01,ROSEUSDT,0.15005,0.16482,0.14775,0.162,175535990.4,27480101.717111,195271
1709164800000,2024-02-29,ROSEUSDT,0.13842,0.16081,0.13652,0.15003,235871545.3,35427160.515709,331887
1709078400000,2024-02-28,ROSEUSDT,0.13486,0.1452,0.1205,0.1384,239286930.3,32778828.438009,299217
1708992000000,2024-02-27,ROSEUSDT,0.13017,0.1429,0.12771,0.13481,204722045.7,27708162.916065,217785
1708905600000,2024-02-26,ROSEUSDT,0.12167,0.13141,0.11881,0.13018,127163351.8,15884122.322267,122226
1708819200000,2024-02-25,ROSEUSDT,0.1222,0.12337,0.11863,0.12172,56709719.8,6853373.39488,57094
1708732800000,2024-02-24,ROSEUSDT,0.11878,0.123,0.11683,0.1222,54696185.3,6605193.779851,55034
1708646400000,2024-02-23,ROSEUSDT,0.12022,0.12254,0.1153,0.11877,80408487.8,9595948.699888,90850
1708560000000,2024-02-22,ROSEUSDT,0.11742,0.1248,0.11509,0.12013,117594312.9,14208135.731977,105155
1708473600000,2024-02-21,ROSEUSDT,0.11972,0.1203,0.11232,0.11742,89708629.2,10377324.102802,76845
1708387200000,2024-02-20,ROSEUSDT,0.12754,0.12863,0.115,0.11969,167107718.6,20100416.619736,171282
1708300800000,2024-02-19,ROSEUSDT,0.12452,0.12998,0.1236,0.12757,139958809.6,17750753.262945,156907
1708214400000,2024-02-18,ROSEUSDT,0.12024,0.12691,0.12003,0.12453,106300549.8,13231257.265141,90426
1708128000000,2024-02-17,ROSEUSDT,0.12023,0.12187,0.1144,0.12021,70929908.9,8405198.732817,66144
1708041600000,2024-02-16,ROSEUSDT,0.12378,0.12716,0.11738,0.12018,104678028.6,12853471.001857,91922
1707955200000,2024-02-15,ROSEUSDT,0.12694,0.13033,0.12138,0.12375,96244172.4,12167493.451898,96573
1707868800000,2024-02-14,ROSEUSDT,0.12522,0.13068,0.1238,0.12695,90829249.9,11586293.237065,89103
1707782400000,2024-02-13,ROSEUSDT,0.12356,0.12767,0.11931,0.12525,104709294.4,12962500.214576,100147
1707696000000,2024-02-12,ROSEUSDT,0.11938,0.12487,0.11617,0.12355,77576634.5,9374312.264293,72291
1707609600000,2024-02-11,ROSEUSDT,0.12306,0.12413,0.118,0.1194,67135344.3,8116374.196679,58413
1707523200000,2024-02-10,ROSEUSDT,0.1207,0.12467,0.11912,0.12306,60735894.4,7401680.847819,60081
1707436800000,2024-02-09,ROSEUSDT,0.1155,0.1235,0.11534,0.12069,88287108.4,10622414.782074,70345
1707350400000,2024-02-08,ROSEUSDT,0.11799,0.1192,0.1147,0.11549,75489079.0,8836360.418845,59526
1707264000000,2024-02-07,ROSEUSDT,0.11161,0.12291,0.11025,0.11797,77778780.7,8998090.922224,66598
1707177600000,2024-02-06,ROSEUSDT,0.11247,0.11379,0.1095,0.11146,75449408.7,8428556.840865,52785
1707091200000,2024-02-05,ROSEUSDT,0.11489,0.11697,0.11134,0.11248,115512863.4,13156156.908523,95572
1707004800000,2024-02-04,ROSEUSDT,0.11722,0.12635,0.11423,0.11482,151322851.6,18144424.007291,123688
1706918400000,2024-02-03,ROSEUSDT,0.1157,0.1235,0.11514,0.11719,176139099.0,21086515.32822,138005
1706832000000,2024-02-02,ROSEUSDT,0.1022,0.1182,0.10185,0.11571,155098200.9,17250403.654032,117526
1706745600000,2024-02-01,ROSEUSDT,0.1001,0.10281,0.09876,0.1022,47849046.7,4822714.857943,41210
1706659200000,2024-01-31,ROSEUSDT,0.10818,0.10852,0.09828,0.10013,117021438.2,12008051.598856,81151
1706572800000,2024-01-30,ROSEUSDT,0.10925,0.11236,0.10714,0.10812,75510583.7,8288838.876034,50649
1706486400000,2024-01-29,ROSEUSDT,0.10654,0.10973,0.10333,0.10917,65853467.1,7067420.52672,46565
1706400000000,2024-01-28,ROSEUSDT,0.10661,0.10999,0.10474,0.10652,49287819.8,5287766.940072,37743
1706313600000,2024-01-27,ROSEUSDT,0.10332,0.10753,0.10228,0.10661,35629641.6,3733147.032735,26550
1706227200000,2024-01-26,ROSEUSDT,0.09836,0.10566,0.09739,0.10331,63252810.1,6498220.047197,49126
1706140800000,2024-01-25,ROSEUSDT,0.09964,0.10048,0.09557,0.0983,60241904.9,5923465.082697,46914
1706054400000,2024-01-24,ROSEUSDT,0.09648,0.10035,0.09409,0.09965,75787488.5,7330348.16421,53761
1705968000000,2024-01-23,ROSEUSDT,0.09445,0.09671,0.088,0.0965,122409895.3,11281406.814417,91118
1705881600000,2024-01-22,ROSEUSDT,0.10032,0.10112,0.09251,0.09435,108217293.0,10460037.303291,71467
1705795200000,2024-01-21,ROSEUSDT,0.10289,0.10451,0.09994,0.10025,43864851.3,4481536.672614,29212
1705708800000,2024-01-20,ROSEUSDT,0.10316,0.10334,0.09925,0.1029,50761284.3,5138225.259596,38011
1705622400000,2024-01-19,ROSEUSDT,0.10667,0.10711,0.09598,0.10318,137311144.0,13961446.154226,93593
1705536000000,2024-01-18,ROSEUSDT,0.1172,0.118,0.1042,0.10664,121365604.4,13384700.442429,86272
1705449600000,2024-01-17,ROSEUSDT,0.1178,0.12,0.11539,0.11722,57272431.0,6724000.942455,46672
1705363200000,2024-01-16,ROSEUSDT,0.11458,0.12094,0.11432,0.11783,75993068.5,8932826.686653,61611
1705276800000,2024-01-15,ROSEUSDT,0.11067,0.1167,0.11047,0.11457,63127466.0,7205506.651471,51522
1705190400000,2024-01-14,ROSEUSDT,0.11361,0.1165,0.11035,0.11059,63917600.4,7278705.554507,54575
1705104000000,2024-01-13,ROSEUSDT,0.11541,0.116,0.11092,0.1136,81308580.2,9218554.767378,65747
1705017600000,2024-01-12,ROSEUSDT,0.12558,0.12835,0.11,0.11539,140524006.8,16872289.546186,137973
1704931200000,2024-01-11,ROSEUSDT,0.12863,0.134,0.12314,0.12556,125235040.2,16162670.125113,117830
1704844800000,2024-01-10,ROSEUSDT,0.11662,0.13241,0.11279,0.1286,138333828.8,16580148.034479,131124
1704758400000,2024-01-09,ROSEUSDT,0.12354,0.12626,0.11226,0.11661,117231811.6,13866440.701461,110136
