Unix,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USDT,tradecount
1708473600000,2024-02-21,ETHUSDT,3014.81,3017.15,2868.0,2967.9,5.959.550.033,17.469.601.797.939.300,1256455
1708387200000,2024-02-20,ETHUSDT,2944.8,3033.09,2874.56,3014.81,6.346.817.471,1.868.745.481.647.540,1517960
1708300800000,2024-02-19,ETHUSDT,2881.2,2984.52,2856.93,2944.8,4.464.510.401,13.024.307.261.296.600,1539410
1708214400000,2024-02-18,ETHUSDT,2785.92,2895.0,2764.25,2881.2,3.679.878.833,1.037.802.342.593.280,1311570
1708128000000,2024-02-17,ETHUSDT,2801.81,2804.21,2719.01,2785.93,2.433.028.759,6.737.115.932.517.120,969157
1708041600000,2024-02-16,ETHUSDT,2822.58,2857.4,2740.0,2801.8,3.780.708.037,106.227.156.448.786,1123447
1707955200000,2024-02-15,ETHUSDT,2774.8,2867.65,2759.25,2822.59,4.816.891.874,1.353.587.492.514.770,1347619
1707868800000,2024-02-14,ETHUSDT,2639.99,2786.0,2618.4,2774.81,4.616.706.944,12.586.399.545.476.600,1090412
1707782400000,2024-02-13,ETHUSDT,2659.99,2686.12,2590.0,2639.99,502.447.745,1.328.138.932.929.160,1044885
1707696000000,2024-02-12,ETHUSDT,2507.22,2665.58,2472.0,2659.99,449.501.776,1.152.087.242.126.350,1019390
1707609600000,2024-02-11,ETHUSDT,2500.24,2539.63,2493.45,2507.21,2.199.751.471,553.430.378.325.069,711081
1707523200000,2024-02-10,ETHUSDT,2486.56,2516.45,2471.57,2500.24,185099.59,461.966.177.394.756,622723
1707436800000,2024-02-09,ETHUSDT,2419.56,2525.0,2419.16,2486.56,492.384.385,1.222.635.531.628.790,1134276
1707350400000,2024-02-08,ETHUSDT,2425.09,2463.15,2411.01,2419.55,3.380.400.539,821.961.943.652.096,894102
1707264000000,2024-02-07,ETHUSDT,2372.63,2444.44,2354.0,2425.1,3.427.917.013,8.204.758.843.035.200,860357
1707177600000,2024-02-06,ETHUSDT,2301.84,2392.4,2299.0,2372.64,3.689.427.498,864.113.645.787.681,861796
1707091200000,2024-02-05,ETHUSDT,2289.79,2338.41,2269.11,2301.83,236.610.412,5.455.766.200.025.640,730863
1707004800000,2024-02-04,ETHUSDT,2296.5,2311.0,2266.0,2289.79,1.712.320.444,393.039.532.452.068,506684
1706918400000,2024-02-03,ETHUSDT,2309.07,2329.98,2292.75,2296.49,133.232.845,307.866.239.186.442,397464
1706832000000,2024-02-02,ETHUSDT,2304.28,2324.74,2281.94,2309.06,238.230.511,549.302.201.697.642,574621
1706745600000,2024-02-01,ETHUSDT,2283.15,2311.72,2240.0,2304.28,3.109.974.538,7.088.684.450.467.550,779472
1706659200000,2024-01-31,ETHUSDT,2343.0,2351.6,2263.57,2283.14,3.971.161.859,920.131.584.290.104,922884
1706572800000,2024-01-30,ETHUSDT,2317.61,2391.98,2297.0,2343.01,3.728.795.791,8.711.487.371.666.570,770660
1706486400000,2024-01-29,ETHUSDT,2256.9,2322.34,2233.8,2317.6,3.055.280.776,696.374.288.619.473,681798
1706400000000,2024-01-28,ETHUSDT,2267.94,2308.24,2239.89,2256.9,2.093.269.087,476.534.769.158.892,566626
1706313600000,2024-01-27,ETHUSDT,2267.67,2282.94,2251.4,2267.94,1.451.093.836,329.102.144.459.815,416970
1706227200000,2024-01-26,ETHUSDT,2218.64,2282.36,2195.84,2267.68,3.635.664.255,815.753.832.163.171,823603
1706140800000,2024-01-25,ETHUSDT,2235.02,2242.89,2171.3,2218.64,3.304.266.061,7.310.160.143.822.880,756164
1706054400000,2024-01-24,ETHUSDT,2242.6,2264.6,2196.12,2235.02,3.598.511.496,802.477.123.108.515,801012
1705968000000,2024-01-23,ETHUSDT,2314.19,2352.23,2168.07,2242.6,7.001.053.314,15.684.488.124.380.800,1204183
1705881600000,2024-01-22,ETHUSDT,2457.06,2466.1,2303.59,2314.2,5.263.376.492,1.252.505.758.322.900,933793
1705795200000,2024-01-21,ETHUSDT,2472.02,2482.18,2452.13,2457.05,1.225.721.687,303.022.758.728.082,360446
1705708800000,2024-01-20,ETHUSDT,2491.99,2492.0,2454.2,2472.01,1.366.209.577,3.377.946.031.476,418938
1705622400000,2024-01-19,ETHUSDT,2470.81,2504.2,2415.2,2492.0,4.242.090.029,10.473.529.718.933.600,855044
1705536000000,2024-01-18,ETHUSDT,2530.2,2550.0,2428.56,2470.81,4.520.901.074,1.129.803.152.914.780,894355
1705449600000,2024-01-17,ETHUSDT,2587.41,2592.97,2506.75,2530.19,3.662.813.477,933.809.190.348.208,1140624
1705363200000,2024-01-16,ETHUSDT,2511.79,2614.43,2500.05,2587.4,3.810.776.247,9.720.603.987.746,1140088
1705276800000,2024-01-15,ETHUSDT,2472.87,2553.82,2470.92,2511.78,3.152.478.819,793.871.974.871.601,789378
1705190400000,2024-01-14,ETHUSDT,2578.18,2578.69,2470.0,2472.87,3.062.077.463,774.962.904.807.117,732294
1705104000000,2024-01-13,ETHUSDT,2522.55,2590.0,2497.5,2578.19,422.061.232,107.546.648.172.042,898845
1705017600000,2024-01-12,ETHUSDT,2618.01,2717.32,2458.0,2522.54,8.874.577.627,2.318.179.618.086.910,1860636
1704931200000,2024-01-11,ETHUSDT,2584.37,2689.39,2566.01,2618.01,8.387.122.577,2.194.916.359.191.640,1693755
1704844800000,2024-01-10,ETHUSDT,2344.3,2643.1,2339.59,2584.38,1.038.388.666,2.536.320.982.388.540,2010707
1704758400000,2024-01-09,ETHUSDT,2330.43,2371.72,2226.78,2344.29,5.514.549.931,1.267.764.132.836.070,1196445
1704672000000,2024-01-08,ETHUSDT,2221.42,2358.2,2166.38,2330.44,5.394.075.547,12.215.274.104.408.200,1069027
1704585600000,2024-01-07,ETHUSDT,2240.77,2258.01,2203.46,2221.42,2.071.386.927,46.352.515.925.742.800,516569
1704499200000,2024-01-06,ETHUSDT,2268.78,2270.0,2216.4,2240.78,1.940.678.656,43.486.751.595.915.600,450441
1704412800000,2024-01-05,ETHUSDT,2267.11,2277.21,2206.17,2268.78,4.055.680.006,9.103.676.211.816.620,758963
1704326400000,2024-01-04,ETHUSDT,2209.72,2294.69,2201.91,2267.11,448.844.055,10.090.726.192.067.700,780771
1704240000000,2024-01-03,ETHUSDT,2355.35,2385.45,2100.0,2209.72,7.987.294.869,1.797.597.895.179.900,1351067
1704153600000,2024-01-02,ETHUSDT,2352.05,2431.3,2341.0,2355.34,4.580.416.642,1.090.922.198.049.090,1028335
