Unix,Date,Symbol,Open,High,Low,Close,Volume ALICE,Volume USDT,tradecount
1701561600000,2023-12-03,ALICEUSDT,1.125,1.209,1.125,1.154,5032782.57,5897917.68991,31838
1701475200000,2023-12-02,ALICEUSDT,1.109,1.145,1.102,1.125,2218872.25,2496980.52369,14320
1701388800000,2023-12-01,ALICEUSDT,1.101,1.119,1.087,1.109,1906713.1,2102986.36362,11224
1701302400000,2023-11-30,ALICEUSDT,1.106,1.132,1.082,1.099,2144327.36,2375983.17689,14531
1701216000000,2023-11-29,ALICEUSDT,1.142,1.148,1.078,1.106,3540581.57,3936805.2722,24737
1701129600000,2023-11-28,ALICEUSDT,1.186,1.203,1.135,1.141,3245820.61,3797191.97485,23061
1701043200000,2023-11-27,ALICEUSDT,1.222,1.252,1.154,1.187,4877052.02,5787519.78087,31193
1700956800000,2023-11-26,ALICEUSDT,1.203,1.338,1.167,1.221,12422711.66,15510526.02747,81507
1700870400000,2023-11-25,ALICEUSDT,1.09,1.226,1.079,1.203,8578573.64,10058750.3392,54532
1700784000000,2023-11-24,ALICEUSDT,1.065,1.103,1.047,1.091,5393062.04,5788886.10016,27219
1700697600000,2023-11-23,ALICEUSDT,1.009,1.086,0.998,1.064,9200442.85,9648946.56215,54623
1700611200000,2023-11-22,ALICEUSDT,0.872,1.024,0.87,1.008,5211129.53,4990750.86984,34851
1700524800000,2023-11-21,ALICEUSDT,0.996,1.022,0.869,0.872,4752410.82,4524622.64956,34552
1700438400000,2023-11-20,ALICEUSDT,0.967,1.028,0.956,0.996,5061721.76,5048068.04079,30211
1700352000000,2023-11-19,ALICEUSDT,0.938,0.97,0.912,0.966,1737504.82,1646658.65963,13289
1700265600000,2023-11-18,ALICEUSDT,0.959,0.959,0.884,0.938,1973470.08,1824330.11378,14263
1700179200000,2023-11-17,ALICEUSDT,0.97,1.005,0.909,0.959,4905793.0,4712980.20033,34401
1700092800000,2023-11-16,ALICEUSDT,1.068,1.098,0.957,0.97,6301867.82,6482053.71092,41326
1700006400000,2023-11-15,ALICEUSDT,0.991,1.078,0.982,1.068,5397676.01,5624294.71187,38947
1699920000000,2023-11-14,ALICEUSDT,0.965,1.018,0.909,0.991,4869453.13,4689466.90901,37031
1699833600000,2023-11-13,ALICEUSDT,1.008,1.027,0.961,0.965,5515753.38,5516196.78868,39034
1699747200000,2023-11-12,ALICEUSDT,0.96,1.024,0.911,1.008,6310969.15,6185812.10724,40754
1699660800000,2023-11-11,ALICEUSDT,0.949,0.986,0.912,0.96,4887299.25,4652786.1894,34758
1699574400000,2023-11-10,ALICEUSDT,0.89,0.951,0.867,0.948,4724340.59,4269473.0072,30010
1699488000000,2023-11-09,ALICEUSDT,0.961,0.998,0.82,0.89,5961293.99,5468337.72512,41153
1699401600000,2023-11-08,ALICEUSDT,0.924,0.98,0.913,0.961,2398245.57,2281961.91547,17314
1699315200000,2023-11-07,ALICEUSDT,0.958,0.971,0.895,0.924,3915761.76,3652504.53609,25218
