Unix,Date,Symbol,Open,High,Low,Close,Volume EGLD,Volume USDT,tradecount
1703635200000,2023-12-27,EGLDUSDT,71.26,74.46,69.63,70.73,299167.44,21484960.5748,98477
1703548800000,2023-12-26,EGLDUSDT,72.8,73.6,65.99,71.26,428198.47,30193943.3736,128184
1703462400000,2023-12-25,EGLDUSDT,72.68,78.1,71.84,72.78,511482.46,38057842.9314,161403
1703376000000,2023-12-24,EGLDUSDT,65.54,75.59,64.78,72.67,951432.15,67796353.76,283891
1703289600000,2023-12-23,EGLDUSDT,61.92,66.42,60.47,65.51,333101.71,21174788.5573,90011
1703203200000,2023-12-22,EGLDUSDT,62.11,62.71,59.24,61.95,230376.41,14059462.2148,68320
1703116800000,2023-12-21,EGLDUSDT,63.07,64.81,61.3,62.1,300333.68,18869609.3268,84704
1703030400000,2023-12-20,EGLDUSDT,57.94,63.3,56.74,63.06,289427.15,17620416.0872,80082
1702944000000,2023-12-19,EGLDUSDT,59.69,60.2,56.6,57.94,183262.72,10699343.4552,55678
1702857600000,2023-12-18,EGLDUSDT,61.12,61.7,54.28,59.69,361085.29,20761047.1164,100109
1702771200000,2023-12-17,EGLDUSDT,61.01,65.32,60.65,61.13,304733.61,19250547.4962,90520
1702684800000,2023-12-16,EGLDUSDT,57.93,63.17,56.92,61.01,250986.08,15327435.597,66773
1702598400000,2023-12-15,EGLDUSDT,61.15,61.3,57.74,57.91,182491.55,10862423.1453,44739
1702512000000,2023-12-14,EGLDUSDT,62.5,62.51,58.0,61.13,295660.43,17946746.5624,74416
1702425600000,2023-12-13,EGLDUSDT,61.96,63.08,57.12,62.48,376588.7,22548550.4937,99617
1702339200000,2023-12-12,EGLDUSDT,63.77,69.6,60.65,61.97,583228.84,37627972.0602,172311
1702252800000,2023-12-11,EGLDUSDT,64.55,67.21,59.96,63.78,903951.88,57829361.7373,245885
1702166400000,2023-12-10,EGLDUSDT,60.28,68.41,58.35,64.57,1212730.31,78177701.73,363003
1702080000000,2023-12-09,EGLDUSDT,52.29,61.29,51.78,60.29,626677.62,34896220.7073,165244
1701993600000,2023-12-08,EGLDUSDT,50.02,52.63,49.15,52.29,298398.82,15216717.1103,60716
1701907200000,2023-12-07,EGLDUSDT,48.53,50.19,47.35,50.01,195564.54,9550932.0155,51544
1701820800000,2023-12-06,EGLDUSDT,50.37,51.91,47.74,48.53,273422.17,13456987.313,67428
1701734400000,2023-12-05,EGLDUSDT,52.24,52.29,48.78,50.36,291268.43,14600871.7394,69664
1701648000000,2023-12-04,EGLDUSDT,49.58,53.89,48.1,52.22,572533.15,29282171.5084,150456
1701561600000,2023-12-03,EGLDUSDT,46.44,53.27,45.84,49.58,745235.22,36911343.3266,181942
1701475200000,2023-12-02,EGLDUSDT,45.4,46.54,45.15,46.44,125443.69,5754057.938,26340
1701388800000,2023-12-01,EGLDUSDT,43.49,45.76,42.99,45.4,148437.35,6627098.8484,33042
